2020-Oct-02 00:23:33 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Test Suite started!
2020-Oct-02 00:25:16 AM [main] INFO  com.qa.interestsmart.pages.SignInPage - 2. User Last Name after login is Ghad
2020-Oct-02 00:25:16 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:25:17 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:25:18 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_01_LoginFacebook_Verify_FirstName_LastName_Logout passed!
2020-Oct-02 00:25:18 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:18 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:25:26 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:26 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:26 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:26 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_03_Login_ValidEmail_ValidPassword started!
2020-Oct-02 00:25:28 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:25:28 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:25:28 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:25:30 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:25:30 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to login into the application
2020-Oct-02 00:25:30 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user first name after successful login as -> er
2020-Oct-02 00:25:30 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user last name after successful login as -> fds
2020-Oct-02 00:25:39 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to logout from the application
2020-Oct-02 00:25:39 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_03_Login_ValidEmail_ValidPassword passed!
2020-Oct-02 00:25:39 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:39 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:25:46 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:46 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:46 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:46 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_04_Login_InvalidEmail_ValidPassword started!
2020-Oct-02 00:25:48 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:25:51 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> aaclxz@mailinator.com
2020-Oct-02 00:25:52 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:25:53 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:25:53 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Oct-02 00:25:53 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Oct-02 00:25:59 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_04_Login_InvalidEmail_ValidPassword passed!
2020-Oct-02 00:25:59 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:59 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:26:07 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:07 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:07 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:07 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_05_Login_ValidEmail_InvalidPassword started!
2020-Oct-02 00:26:08 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:26:09 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:26:09 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 1a2b3c
2020-Oct-02 00:26:11 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page
2020-Oct-02 00:26:11 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Oct-02 00:26:17 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Oct-02 00:26:23 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_05_Login_ValidEmail_InvalidPassword passed!
2020-Oct-02 00:26:23 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:23 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:26:31 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:31 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:31 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:31 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_06_InvalidEmail_InvalidPassword started!
2020-Oct-02 00:26:33 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:26:33 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:26:33 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 1a2b3c
2020-Oct-02 00:26:35 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page
2020-Oct-02 00:26:35 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Oct-02 00:26:41 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Oct-02 00:26:47 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_06_InvalidEmail_InvalidPassword passed!
2020-Oct-02 00:26:47 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:47 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:26:55 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:55 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:55 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:26:55 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_07_SearchLoan_ByValidAddress started!
2020-Oct-02 00:26:56 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:26:57 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:26:57 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:26:59 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:27:28 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_07_SearchLoan_ByValidAddress passed!
2020-Oct-02 00:27:28 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:27:28 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:27:36 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:27:36 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:27:36 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:27:36 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_08_SearchLoan_ByInValidAddress started!
2020-Oct-02 00:27:38 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:27:38 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:27:38 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:27:41 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:28:10 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_08_SearchLoan_ByInValidAddress passed!
2020-Oct-02 00:28:10 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:28:10 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:28:18 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:28:18 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:28:18 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:28:18 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_09_Verify_MonthlyPayment_RemainingBalance started!
2020-Oct-02 00:28:19 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:28:20 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:28:20 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:28:22 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:28:30 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:29:08 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_09_Verify_MonthlyPayment_RemainingBalance passed!
2020-Oct-02 00:29:08 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:29:08 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:29:17 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:29:17 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:29:17 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:29:17 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_10_Verify_MonthlyPayment_RemainingBalance_NegativeScenario started!
2020-Oct-02 00:29:19 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:29:19 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:29:19 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:29:22 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:29:30 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:30:05 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_10_Verify_MonthlyPayment_RemainingBalance_NegativeScenario failed!
2020-Oct-02 00:30:06 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:30:06 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Attaching screenshot in extent report for failed testcase name -> TC_10_Verify_MonthlyPayment_RemainingBalance_NegativeScenario
2020-Oct-02 00:30:06 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:30:06 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:30:15 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:30:15 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:30:15 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:30:15 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_12_Submit_Loan started!
2020-Oct-02 00:30:16 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:30:17 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:30:17 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:30:17 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:30:18 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to login into the application
2020-Oct-02 00:30:18 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user first name after successful login as -> sud20
2020-Oct-02 00:30:18 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user last name after successful login as -> singh
